name,Population,Cluster1,Cluster2,Cluster3
Ind66,Gambian,0.9999798800000004,1.0120000000000012e-05,1.0000000000000013e-05
Ind67,Gambian,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind68,Gambian,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind69,Gambian,0.9943789400000002,1.0000000000000013e-05,0.00561106
Ind70,Gambian,0.9999799000000004,1.0100000000000012e-05,1.0000000000000013e-05
Ind71,Gambian,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind72,Gambian,0.99298592,0.00700408,1.0000000000000013e-05
Ind73,Gambian,0.9999799000000004,1.0100000000000012e-05,1.0000000000000013e-05
Ind74,Gambian,0.9999799200000004,1.0000000000000013e-05,1.0080000000000012e-05
Ind75,Gambian,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
