name,Population,Cluster1,Cluster2,Cluster3,Cluster4
Ind51,Gambian,0.6727245384615386,1.0000000000000008e-05,1.0000000000000008e-05,0.3272554615384616
Ind52,Gambian,0.7594267948717949,0.0049384871794871,1.0000000000000008e-05,0.2356246410256411
Ind53,Gambian,0.9999695897435896,1.0000000000000008e-05,1.0000000000000008e-05,1.041025641025642e-05
Ind54,Gambian,0.8603528974358976,1.023076923076924e-05,1.0000000000000008e-05,0.1396268974358974
Ind55,Gambian,0.9914691538461536,0.0085108461538461,1.0000000000000008e-05,1.0000000000000008e-05
Ind56,Gambian,0.8051605128205129,1.0000000000000008e-05,1.0000000000000008e-05,0.1948194871794872
Ind57,Gambian,0.6063282307692308,0.0160435128205128,1.0000000000000008e-05,0.377618205128205
Ind58,Gambian,0.9099958461538464,1.0358974358974368e-05,1.0000000000000008e-05,0.0899837948717948
Ind59,Gambian,0.7467617948717946,1.0000000000000008e-05,1.0000000000000008e-05,0.2532182051282052
Ind60,Gambian,0.7059708461538462,0.0244105897435897,1.0000000000000008e-05,0.2696085897435897
Ind61,Gambian,0.99997,1.0000000000000008e-05,1.0000000000000008e-05,1.0000000000000008e-05
Ind62,Gambian,0.7612951538461538,1.005128205128206e-05,1.0000000000000008e-05,0.2386848205128204
Ind63,Gambian,0.7710976153846155,1.0000000000000008e-05,1.0000000000000008e-05,0.2288823846153845
Ind64,Gambian,0.6979984871794872,0.0105010256410256,1.0000000000000008e-05,0.2914905641025641
Ind65,Gambian,0.5262626923076922,1.0000000000000008e-05,1.0000000000000008e-05,0.4737173076923077
Ind66,Gambian,0.7483093076923079,1.0000000000000008e-05,1.0000000000000008e-05,0.2516706923076923
Ind67,Gambian,0.835037743589743,1.0000000000000008e-05,1.0000000000000008e-05,0.1649422564102564
Ind68,Gambian,0.7340019487179487,1.012820512820514e-05,1.0000000000000008e-05,0.2659778974358973
Ind69,Gambian,0.7466998461538461,1.0000000000000008e-05,0.0040257692307692,0.249264358974359
Ind70,Gambian,0.7898583846153846,1.0000000000000008e-05,1.0000000000000008e-05,0.2101216153846154
Ind71,Gambian,0.6948870256410259,1.0000000000000008e-05,1.0025641025641036e-05,0.3050929487179487
