name,Population,Cluster1,Cluster2
Ind35,Gambian,0.999989999999999,1.0000000000000013e-05
Ind36,Gambian,0.999989999999999,1.0000000000000013e-05
Ind37,Gambian,0.999989999999999,1.0000000000000013e-05
Ind38,Gambian,0.999989999999999,1.0000000000000013e-05
Ind39,Gambian,0.999989999999999,1.0000000000000013e-05
Ind40,Gambian,0.9998970199999992,0.0001029799999999
Ind41,Gambian,0.999989999999999,1.0000000000000013e-05
Ind42,Gambian,0.999989999999999,1.0000000000000013e-05
Ind43,Gambian,0.9825459999999993,0.0174539999999999
Ind44,Gambian,0.9549840200000008,0.0450159799999999
Ind45,Gambian,0.999989999999999,1.0000000000000013e-05
Ind46,Gambian,0.999989999999999,1.0000000000000013e-05
Ind47,Gambian,0.999989999999999,1.0000000000000013e-05
Ind48,Gambian,0.999989999999999,1.0000000000000013e-05
Ind49,Gambian,0.999989999999999,1.0000000000000013e-05
Ind50,Gambian,0.9871719200000006,0.0128280799999999
Ind51,Gambian,0.999989999999999,1.0000000000000013e-05
Ind52,Gambian,0.99784502,0.00215498
Ind53,Gambian,0.999989999999999,1.0000000000000013e-05
Ind54,Gambian,0.999989999999999,1.0000000000000013e-05
Ind55,Gambian,0.9853068999999997,0.0146930999999999
Ind56,Gambian,0.999989999999999,1.0000000000000013e-05
Ind57,Gambian,0.9852459599999988,0.01475404
Ind58,Gambian,0.999989999999999,1.0000000000000013e-05
Ind59,Gambian,0.999989999999999,1.0000000000000013e-05
Ind60,Gambian,0.9752769999999988,0.024723
Ind61,Gambian,0.999989999999999,1.0000000000000013e-05
Ind62,Gambian,0.999989999999999,1.0000000000000013e-05
Ind63,Gambian,0.999989999999999,1.0000000000000013e-05
Ind64,Gambian,0.9893119999999987,0.0106879999999999
Ind65,Gambian,0.999989999999999,1.0000000000000013e-05
Ind66,Gambian,0.999989999999999,1.0000000000000013e-05
Ind67,Gambian,0.999989999999999,1.0000000000000013e-05
Ind68,Gambian,0.999989999999999,1.0000000000000013e-05
Ind69,Gambian,0.9956249799999992,0.0043750199999999
Ind70,Gambian,0.999989999999999,1.0000000000000013e-05
Ind71,Gambian,0.999989999999999,1.0000000000000013e-05
Ind72,Gambian,0.9947640200000014,0.0052359799999999
Ind73,Gambian,0.999989999999999,1.0000000000000013e-05
Ind74,Gambian,0.999989999999999,1.0000000000000013e-05
Ind75,Gambian,0.999989999999999,1.0000000000000013e-05
Ind76,Gambian,0.9961789999999998,0.0038209999999999
Ind77,Gambian,0.999989999999999,1.0000000000000013e-05
Ind78,Gambian,0.999989999999999,1.0000000000000013e-05
Ind79,Gambian,0.9915200600000004,0.0084799399999999
Ind80,Gambian,0.999989999999999,1.0000000000000013e-05
Ind81,Gambian,0.924631,0.0753689999999999
Ind82,Gambian,0.999989999999999,1.0000000000000013e-05
Ind83,Gambian,0.999989999999999,1.0000000000000013e-05
Ind84,Gambian,0.999989999999999,1.0000000000000013e-05
Ind85,Gambian,0.999989999999999,1.0000000000000013e-05
Ind86,Gambian,0.9971281400000012,0.00287186
Ind87,Gambian,0.999989999999999,1.0000000000000013e-05
Ind88,Gambian,0.999989999999999,1.0000000000000013e-05
Ind89,Gambian,0.9969670599999996,0.0030329399999999
Ind90,Gambian,0.999989999999999,1.0000000000000013e-05
Ind91,Gambian,0.999989999999999,1.0000000000000013e-05
Ind92,Gambian,0.9875759999999992,0.0124239999999999
Ind93,Gambian,0.9984757999999988,0.0015241999999999
Ind94,Gambian,0.999989999999999,1.0000000000000013e-05
Ind95,Gambian,0.999989999999999,1.0000000000000013e-05
Ind96,Gambian,0.999989999999999,1.0000000000000013e-05
Ind97,Gambian,0.9983228999999992,0.0016770999999999
Ind98,Gambian,0.999989999999999,1.0000000000000013e-05
Ind99,Gambian,0.999989999999999,1.0000000000000013e-05
Ind100,Gambian,0.999989999999999,1.0000000000000013e-05
Ind101,Gambian,0.999989999999999,1.0000000000000013e-05
Ind102,Gambian,0.999989999999999,1.0000000000000013e-05
Ind103,Gambian,0.999989999999999,1.0000000000000013e-05
Ind104,Gambian,0.999989999999999,1.0000000000000013e-05
Ind105,Gambian,0.9979857999999994,0.0020142
Ind106,Gambian,0.999989999999999,1.0000000000000013e-05
Ind107,Gambian,0.999989999999999,1.0000000000000013e-05
Ind108,Gambian,0.999989999999999,1.0000000000000013e-05
Ind109,Gambian,0.99941096,0.0005890399999999
Ind110,Gambian,0.999989999999999,1.0000000000000013e-05
Ind111,Gambian,0.999989999999999,1.0000000000000013e-05
Ind112,Gambian,0.999989999999999,1.0000000000000013e-05
Ind113,Gambian,0.999989999999999,1.0000000000000013e-05
Ind114,Gambian,0.999989999999999,1.0000000000000013e-05
Ind115,Gambian,0.999989999999999,1.0000000000000013e-05
Ind116,Gambian,0.999989999999999,1.0000000000000013e-05
Ind117,Gambian,0.999989999999999,1.0000000000000013e-05
Ind118,Gambian,0.999989999999999,1.0000000000000013e-05
Ind119,Gambian,0.999989999999999,1.0000000000000013e-05
Ind120,Gambian,0.9975420600000008,0.00245794
Ind121,Gambian,0.999989999999999,1.0000000000000013e-05
Ind122,Gambian,0.999989999999999,1.0000000000000013e-05
Ind123,Gambian,0.999989999999999,1.0000000000000013e-05
Ind124,Gambian,0.999989999999999,1.0000000000000013e-05
Ind125,Gambian,0.999989999999999,1.0000000000000013e-05
Ind126,Gambian,0.9917550399999996,0.00824496
Ind127,Gambian,0.9974759999999993,0.0025239999999999
Ind128,Gambian,0.999989999999999,1.0000000000000013e-05
Ind129,Gambian,0.9983040199999994,0.00169598
Ind130,Gambian,0.999989999999999,1.0000000000000013e-05
Ind131,Gambian,0.970972000000001,0.029028
Ind132,Cape Verdean,0.515929,0.4840710000000001
Ind133,Cape Verdean,0.5336640200000007,0.4663359799999994
Ind134,Cape Verdean,0.6137279600000007,0.3862720400000001
Ind135,Cape Verdean,0.7595500000000002,0.2404499999999997
Ind136,Cape Verdean,0.7701649199999994,0.2298350799999997
Ind137,Cape Verdean,0.7605649999999998,0.2394350000000001
Ind138,Cape Verdean,0.2057530199999997,0.7942469799999994
Ind139,Cape Verdean,0.4728390000000004,0.5271609999999997
Ind140,Cape Verdean,0.3562259999999998,0.6437740000000002
Ind141,Cape Verdean,0.7219489999999997,0.2780509999999997
Ind142,Cape Verdean,0.8040469999999997,0.1959529999999999
Ind143,Cape Verdean,0.1064090400000001,0.8935909600000003
Ind144,Cape Verdean,0.3128659999999997,0.6871340000000001
Ind145,Cape Verdean,0.2254239600000001,0.7745760400000004
Ind146,Cape Verdean,0.21021012,0.7897898799999992
Ind147,Cape Verdean,0.7463799999999998,0.2536199999999998
Ind148,Cape Verdean,0.7766639999999995,0.2233359999999998
Ind149,Cape Verdean,0.6497090000000004,0.3502910000000001
Ind150,Cape Verdean,0.7314700200000008,0.26852998
Ind151,Cape Verdean,0.78329604,0.21670396
Ind152,Cape Verdean,0.80902992,0.19097008
Ind153,Cape Verdean,0.8895999600000006,0.11040004
Ind154,Cape Verdean,0.6370959599999997,0.3629040400000002
Ind155,Cape Verdean,0.704096,0.295904
Ind156,Cape Verdean,0.6498573600000005,0.3501426399999998
Ind157,Cape Verdean,0.730878,0.2691219999999998
Ind158,Cape Verdean,0.832188,0.1678119999999998
Ind159,Cape Verdean,0.7690669999999998,0.2309330000000001
Ind160,Cape Verdean,0.8178989999999997,0.182101
Ind161,Cape Verdean,0.7988840000000004,0.201116
