name,Population,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5
Ind27,Gambian,0.8009381111111112,0.0250903888888888,1e-05,0.1709100555555555,0.0030514444444444
Ind28,Gambian,0.8017453888888888,1e-05,1e-05,0.1982246111111111,1e-05
Ind29,Gambian,0.7951535555555556,0.0004121111111111,1.0388888888888887e-05,0.2041821111111111,0.0002418333333333
Ind30,Gambian,0.6956690000000001,1e-05,1e-05,0.3043008333333332,1.0166666666666669e-05
Ind31,Gambian,0.7728443333333331,1.05e-05,1e-05,0.2271247222222222,1.0333333333333332e-05
Ind32,Gambian,0.7706147777777778,0.0002775555555555,0.0002085555555555,0.2257742777777777,0.0031248888888888
Ind33,Gambian,0.7082301666666668,0.0167265555555555,1e-05,0.2683202777777778,0.0067131666666666
Ind34,Gambian,0.8206282222222222,1e-05,1e-05,0.1793416666666666,1.0111111111111113e-05
Ind35,Gambian,0.927397388888889,1e-05,1e-05,0.0725725555555555,1e-05
Ind36,Gambian,0.99996,1e-05,1e-05,1e-05,1e-05
Ind37,Gambian,0.838718,1e-05,1.0388888888888887e-05,0.1611982222222222,6.338888888888891e-05
Ind38,Gambian,0.7903794444444445,1e-05,1e-05,0.2095905555555556,1e-05
Ind39,Gambian,0.7415742222222222,7.738888888888891e-05,1e-05,0.2581267777777777,0.0002116111111111
Ind40,Gambian,0.9105416111111108,1e-05,0.0003998888888888,0.0890384999999999,1e-05
Ind41,Gambian,0.8987485555555556,1e-05,1e-05,0.1012214444444444,1e-05
Ind42,Gambian,0.9999594444444444,1.0555555555555555e-05,1e-05,1e-05,1e-05
Ind43,Gambian,0.8153369444444445,0.0133171111111111,1e-05,0.164727,0.0066090555555555
Ind44,Gambian,0.7544843888888889,0.0307677777777777,1e-05,0.1963226111111111,0.0184152777777777
Ind45,Gambian,0.7445406666666665,0.0002073888888888,1.0111111111111113e-05,0.2552318333333332,1e-05
Ind46,Gambian,0.831179,1e-05,1e-05,0.168791,1e-05
Ind47,Gambian,0.909720277777778,1e-05,1e-05,0.0902497222222222,1e-05
Ind48,Gambian,0.7700933888888887,1e-05,1e-05,0.2298766111111111,1e-05
Ind49,Gambian,0.844350111111111,1e-05,1e-05,0.1556192222222222,1.0555555555555555e-05
Ind50,Gambian,0.699933111111111,0.0044047222222222,1e-05,0.2830610555555555,0.0125911111111111
Ind51,Gambian,0.7348207777777778,1e-05,1.0555555555555555e-05,0.2651090555555556,4.9611111111111126e-05
Ind52,Gambian,0.8032208333333335,0.0042201666666666,1e-05,0.1906167777777777,0.0019321666666666
Ind53,Gambian,0.9999594444444444,1e-05,1e-05,1.0555555555555555e-05,1e-05
Ind54,Gambian,0.8915134444444441,1e-05,1e-05,0.1084565555555555,1e-05
Ind55,Gambian,0.9858763888888888,0.0038217777777777,0.0009768333333333,0.0041348888888888,0.0051901666666666
Ind56,Gambian,0.8418084999999998,1e-05,1.0388888888888887e-05,0.1581611111111111,1e-05
Ind57,Gambian,0.6795928333333333,0.0109238888888888,1e-05,0.3044835555555556,0.0049897777777777
Ind58,Gambian,0.9264046111111112,0.0002420555555555,1e-05,0.0730527777777777,0.0002905555555555
Ind59,Gambian,0.7939483333333331,1.0055555555555557e-05,1e-05,0.2060216111111111,1e-05
Ind60,Gambian,0.7561100555555555,0.0228943333333333,1e-05,0.2181180555555556,0.0028675555555555
